status,gene-symbol,gene-name,ensembl-id,chromosome,genetic-category,gene-score,syndromic,eagle,number-of-reports
9,BTAF1,"RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)",,10,"Rare Single Gene Mutation",2,0,,10
9,BTRC,"beta-transducin repeat containing E3 ubiquitin protein ligase",,10,"Rare Single Gene Mutation",2,0,,4
9,C12orf57,"Chromosome 12 open reading frame 57",,12,"Rare Single Gene Mutation, Syndromic",,1,,19
9,C15orf62,"chromosome 15 open reading frame 62",,15,"Rare Single Gene Mutation",2,0,,3
9,C4B,"complement component 4B",,6,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,,6
9,CA6,"carbonic anhydrase VI",,1,"Rare Single Gene Mutation",2,0,,7
9,CACNA1A,"Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",,19,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,1,,51
9,ASB9,"ankyrin repeat and SOCS box containing 9",,X,"Genetic Association",3,0,0.1,1
9,AVPR1B,"arginine vasopressin receptor 1B",,1,"Genetic Association, Functional",2,0,,9
9,BICDL1,"BICD family like cargo adaptor 1",,12,"Genetic Association",2,0,,2
9,CACNA1B,"calcium voltage-gated channel subunit alpha1 B",,9,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,0,,15
9,CACNA1C,"calcium channel, voltage-dependent, L type, alpha 1C subunit",,12,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,1,,68
9,CACNA1D,"calcium channel, voltage-dependent, L type, alpha 1D",,3,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,0,12.7,36
9,CACNA1E,"calcium voltage-gated channel subunit alpha1 E",,1,"Rare Single Gene Mutation",1,0,7.5,25
9,CACNA1F,"calcium channel, voltage-dependent, alpha 1F",,X,"Rare Single Gene Mutation, Genetic Association",2,0,,11
9,CACNA1G,"calcium channel, voltage-dependent, T type, alpha 1G subunit",,17,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,0,,33
9,CACNA1H,"calcium channel, voltage-dependent, alpha 1H subunit",,16,"Rare Single Gene Mutation, Functional",2,0,,38
9,CACNA1I,"Calcium channel, voltage-dependent, T type, alpha 1I subunit",,22,"Rare Single Gene Mutation, Genetic Association",2,0,,13
9,CACNA2D1,"calcium voltage-gated channel auxiliary subunit alpha2delta 1",,7,"Rare Single Gene Mutation, Syndromic",2,0,,10
9,CACNA2D3,"Calcium channel, voltage-dependent, alpha 2/delta subunit 3",,3,"Rare Single Gene Mutation, Functional",1,0,3.75,17
9,CACNB1,"calcium voltage-gated channel auxiliary subunit beta 1",,17,"Rare Single Gene Mutation",3,0,,3
